iter	RMSE
0	0.1930781861
1	0.1916918967
2	0.1903838555
3	0.1890463692
4	0.1878349281
5	0.187193905
6	0.1859869918
7	0.1848248809
8	0.1836898002
9	0.1831775308
10	0.1827754802
11	0.1818513008
12	0.1806445746
13	0.1794819328
14	0.1789516649
15	0.178436432
16	0.1776947652
17	0.1772488168
18	0.1761658162
19	0.1753950377
20	0.174344051
21	0.1735458417
22	0.1726664691
23	0.1719014205
24	0.1712866984
25	0.170428159
26	0.170079153
27	0.1688594408
28	0.1676176658
29	0.1672768313
30	0.1664269079
31	0.1652213725
32	0.1642799597
33	0.1635339344
34	0.1625809501
35	0.1619038448
36	0.1613211247
37	0.160300465
38	0.1597823848
39	0.1588227048
40	0.1578661717
41	0.1569180867
42	0.1557858908
43	0.1546699627
44	0.1540814152
45	0.1529498206
46	0.152401352
47	0.1515186247
48	0.15054125
49	0.1496023967
50	0.1486646496
51	0.1482183921
52	0.1478225161
53	0.1469784101
54	0.1458511221
55	0.1447919261
56	0.1440988023
57	0.1433210393
58	0.1425054209
59	0.1416848451
60	0.1409770909
61	0.1405532281
62	0.1398499509
63	0.1389457858
64	0.1382152536
65	0.137767751
66	0.137006113
67	0.1360960424
68	0.13549473
69	0.1349396685
70	0.1344983989
71	0.1341660178
72	0.1332940428
73	0.1324421411
74	0.1315757109
75	0.1312414872
76	0.1308179591
77	0.1300861759
78	0.1294778303
79	0.1289276914
80	0.1285026978
81	0.1281758028
82	0.1275515092
83	0.1273688999
84	0.1272157265
85	0.126578304
86	0.1260063827
87	0.1255962003
88	0.1249365913
89	0.1242235731
90	0.1238093044
91	0.1232618109
92	0.1229714068
93	0.1226807014
94	0.1220798354
95	0.1214831356
96	0.1211274182
97	0.1205404619
98	0.1202672344
99	0.1196160651
100	0.1193736149
101	0.1190763106
102	0.1188205527
103	0.1186558147
104	0.1185218182
105	0.1179158567
106	0.1173998544
107	0.117011586
108	0.1165128882
109	0.1158704268
110	0.1156334636
111	0.1152074924
112	0.1145949926
113	0.1141870188
114	0.1135443781
115	0.1133246127
116	0.1129281832
117	0.1127925026
118	0.1124180261
119	0.111821948
120	0.1113097645
121	0.1109691147
122	0.1103734658
123	0.1099552859
124	0.1096342429
125	0.1092212235
126	0.1089393888
127	0.1088404239
128	0.1084963139
129	0.1080665561
130	0.1076594561
131	0.1074370099
132	0.1073440695
133	0.1069970597
134	0.1067390612
135	0.1062378245
136	0.1057880521
137	0.105377612
138	0.1050541258
139	0.104569757
140	0.1042665388
141	0.1038180988
142	0.1034802658
143	0.1033211535
144	0.1029030992
145	0.1023961811
146	0.1022257232
147	0.1020362426
148	0.1016800667
149	0.1015044641
150	0.1011743163
151	0.1010263138
152	0.1006448016
153	0.1005571193
154	0.1002232436
155	0.09988186953
156	0.09962412504
157	0.09942985337
158	0.09908742611
159	0.09887121482
160	0.09853036852
161	0.09836778526
162	0.09806882778
163	0.09798665547
164	0.09776324596
165	0.09752065524
166	0.09719765073
167	0.09686435687
168	0.09654098973
169	0.09633082392
170	0.09623573171
171	0.09600152996
172	0.09590190802
173	0.09560312289
174	0.09522531317
175	0.09507247388
176	0.09498307719
177	0.09467071652
178	0.09443388069
179	0.09419877009
180	0.09398315201
181	0.09374702997
182	0.09336560877
183	0.09319477567
184	0.09312909436
185	0.09289834163
186	0.09264513219
187	0.09238183216
188	0.09211983927
189	0.09190445277
190	0.09185064299
191	0.09148923024
192	0.09139594295
193	0.0910654026
194	0.09078633899
195	0.09067597927
196	0.09039696035
197	0.09023929678
198	0.08999058324
199	0.08978090978
200	0.08955230445
201	0.08930688873
202	0.08905239699
203	0.08888611295
204	0.08874063042
205	0.08840931531
206	0.08810894215
207	0.08788269315
208	0.08774715377
209	0.08749093502
210	0.08738606456
211	0.08723947998
212	0.08698598885
213	0.08693618351
214	0.0866738705
215	0.08641269728
216	0.08613318487
217	0.08598395141
218	0.08576824046
219	0.08555447785
220	0.08541490616
221	0.08523701721
222	0.08514183494
223	0.08500093221
224	0.08489033156
225	0.08467699797
226	0.08450714913
227	0.08439021737
228	0.08413880702
229	0.08408407411
230	0.08388861149
231	0.08381421227
232	0.08362942007
233	0.08348667456
234	0.08324724975
235	0.08307903256
236	0.08290751458
237	0.08280061518
238	0.08258359974
239	0.08245178114
240	0.08223909949
241	0.08217239429
242	0.08203159268
243	0.0818612701
244	0.08169339261
245	0.08155908429
246	0.0813946924
247	0.08126123919
248	0.08111538274
249	0.08095312653
250	0.08079143729
251	0.08069971957
252	0.08060895897
253	0.08048419499
254	0.08044058625
255	0.08022693863
256	0.08017982844
257	0.0799873414
258	0.07980151282
259	0.07968671851
260	0.07954290839
261	0.07939722802
262	0.07926897923
263	0.07913208482
264	0.07898706099
265	0.07889819311
266	0.07886260572
267	0.07871835232
268	0.07859332806
269	0.0784242218
270	0.07829292976
271	0.07818734187
272	0.07811934273
273	0.07797668343
274	0.07793691155
275	0.07775108541
276	0.07760862705
277	0.07747373083
278	0.07743710276
279	0.07738990834
280	0.07734865745
281	0.07720758562
282	0.07710645751
283	0.07697562548
284	0.07693536051
285	0.07679922839
286	0.07662859793
287	0.07648354291
288	0.07634103829
289	0.07626047928
290	0.07622488578
291	0.07607803377
292	0.07593779481
293	0.07580146106
294	0.0756698773
295	0.07551601054
296	0.07539809976
297	0.07528361229
298	0.0751984808
299	0.07509401567
300	0.07498331767
301	0.07489157454
302	0.0747270219
303	0.07462916069
304	0.0744793914
305	0.07430462483
306	0.07417987966
307	0.07402910772
308	0.07392878814
309	0.07389658366
310	0.07382742104
311	0.07366197437
312	0.07349408186
313	0.07339653343
314	0.07331033823
315	0.07318054536
316	0.07314011074
317	0.07302495119
318	0.07291741741
319	0.0728172317
320	0.07271675055
321	0.07265663192
322	0.07261293385
323	0.07257307391
324	0.07254486155
325	0.07244702817
326	0.07234799785
327	0.07222635611
328	0.07213182942
329	0.07203905289
330	0.07200729485
331	0.07186971663
332	0.07170842108
333	0.07161113548
334	0.07149212293
335	0.07139610124
336	0.07131546087
337	0.07128506666
338	0.07114647956
339	0.07105173059
340	0.07094871034
341	0.07086338368
342	0.07078380841
343	0.07068842424
344	0.07059619663
345	0.07053062924
346	0.07044762134
347	0.07031582611
348	0.07024037686
349	0.07014798264
350	0.07001945655
351	0.06991597396
352	0.069858163
353	0.06976950829
354	0.06967961609
355	0.06960836916
356	0.06957420996
357	0.06950587847
358	0.06938017403
359	0.06928558361
360	0.06922567963
361	0.06910404243
362	0.06902958584
363	0.06899616589
364	0.06887358161
365	0.06876246586
366	0.06869140041
367	0.06863425076
368	0.06857249067
369	0.06847402734
370	0.06835802897
371	0.06832242359
372	0.06825647865
373	0.06818115048
374	0.0681494067
375	0.06805789289
376	0.06802419332
377	0.06792972874
378	0.0678549073
379	0.06777064911
380	0.06768986547
381	0.06763312659
382	0.06753311502
383	0.06745890085
384	0.06736367322
385	0.06726245642
386	0.06716219788
387	0.06707952242
388	0.06701258865
389	0.06697989177
390	0.06691017207
391	0.06683881765
392	0.06674452801
393	0.0666548881
394	0.06658410662
395	0.0665606857
396	0.0665167121
397	0.06643592548
398	0.0663658946
399	0.06627865669
400	0.0662010722
401	0.06613111033
402	0.06607399811
403	0.06604485391
404	0.065996777
405	0.06591235202
406	0.06583894384
407	0.06577104537
408	0.06570002823
409	0.06562730186
410	0.06558609995
411	0.0655205088
412	0.06544064575
413	0.06537939312
414	0.06527138052
415	0.06518377091
416	0.06512331322
417	0.06505165752
418	0.06496272554
419	0.06490709052
420	0.06483265327
421	0.06477258776
422	0.06472816569
423	0.06470196657
424	0.06465212983
425	0.06458140507
426	0.06451630346
427	0.06442199174
428	0.06437289666
429	0.06435434414
430	0.06425945279
431	0.06418181681
432	0.06412935614
433	0.06410267712
434	0.06400338334
435	0.06398115153
436	0.06390766764
437	0.06387933721
438	0.06385603696
439	0.06377186715
440	0.06371501951
441	0.06366072737
442	0.06362633043
443	0.0635391289
444	0.06346466733
445	0.06340411395
446	0.06336334034
447	0.0633434732
448	0.06332231498
449	0.06327780318
450	0.06319321989
451	0.0631273669
452	0.06307564397
453	0.06301370266
454	0.06295844492
455	0.06289249713
456	0.0628286459
457	0.06279114619
458	0.06274366096
459	0.06266929291
460	0.06262727397
461	0.06260574614
462	0.06255596341
463	0.06250503409
464	0.06242059888
465	0.06237638361
466	0.0623531383
467	0.06228500391
468	0.0622091412
469	0.06214541258
470	0.06210446439
471	0.06206179501
472	0.06203351085
473	0.0619954577
474	0.06193161586
475	0.0618601491
476	0.06181472922
477	0.0617711068
478	0.06171927864
479	0.06165474871
480	0.06161862891
481	0.06158000203
482	0.06154204617
483	0.06147442042
484	0.06140530608
485	0.06134626757
486	0.06127668858
487	0.06121611802
488	0.06118946644
489	0.06114547328
490	0.06109812004
491	0.06103652512
492	0.06100766432
493	0.06098170101
494	0.06091977142
495	0.06085746369
496	0.06080825888
497	0.06077688319
498	0.06072907835
499	0.06069861792
500	0.06063335203
501	0.06057907001
502	0.06054815925
503	0.06050659402
504	0.06044113382
505	0.06041490992
506	0.06039480466
507	0.06034194266
508	0.06031715919
509	0.06027327054
510	0.06021443628
511	0.06017823344
512	0.06014816674
513	0.06012385143
514	0.06010024874
515	0.06005938437
516	0.06003872749
517	0.05996814418
518	0.0599177006
519	0.05987978205
520	0.05981846552
521	0.05976640113
522	0.05974146897
523	0.05969457437
524	0.0596624426
525	0.05960498404
526	0.05955397047
527	0.05953053986
528	0.05950802666
529	0.05947668124
530	0.05944647441
531	0.05942383102
532	0.05938645492
533	0.0593655222
534	0.05930278673
535	0.05928279138
536	0.05923768723
537	0.059187424
538	0.05916782856
539	0.05912654462
540	0.05910523584
541	0.0590572588
542	0.05902032815
543	0.05898117081
544	0.05894733915
545	0.05888765302
546	0.05884254603
547	0.05882283411
548	0.0587708129
549	0.05874971113
550	0.05870610974
551	0.0586686111
552	0.0586489093
553	0.05861977633
554	0.05856974566
555	0.0585354148
556	0.0585108304
557	0.0584943838
558	0.05847159286
559	0.05842111911
560	0.05838187411
561	0.05835532584
562	0.05832974057
563	0.05828194556
564	0.05823943286
565	0.05818967634
566	0.05815947298
567	0.05811510904
568	0.05806471335
569	0.05801579206
570	0.05799245047
571	0.0579540371
572	0.0579304942
573	0.05788037769
574	0.05783565398
575	0.05779140513
576	0.05777389739
577	0.05772575135
578	0.05770270118
579	0.0576832684
580	0.05765891244
581	0.05763256271
582	0.05758766818
583	0.05757451187
584	0.05754885174
585	0.05750893133
586	0.05746752335
587	0.05744813073
588	0.05742801319
589	0.05740861641
590	0.05738912059
591	0.05736776548
592	0.05732488625
593	0.05727873015
594	0.05725784807
595	0.0572305923
596	0.0571941524
597	0.05715319217
598	0.05712733688
599	0.05708335171
600	0.05706129136
601	0.05703286291
602	0.05701854832
603	0.05698498097
604	0.05694776364
605	0.05690681501
606	0.05686935329
607	0.05682706359
608	0.05680915566
609	0.05677367063
610	0.05674617908
611	0.0567061919
612	0.0566777299
613	0.0566549388
614	0.05661685362
615	0.05657703079
616	0.05656087108
617	0.05652972786
618	0.05651417151
619	0.05647944521
620	0.05643892492
621	0.05641748219
622	0.05639557181
623	0.05637988596
624	0.05634826216
625	0.0563077989
626	0.05627445843
627	0.05624795026
628	0.05621257836
629	0.05619607967
630	0.05616230189
631	0.05614868325
632	0.0561099653
633	0.05607180342
634	0.05605133051
635	0.05603754168
636	0.05602628924
637	0.05599550309
638	0.05596036311
639	0.05593001646
640	0.05590460523
641	0.05587814475
642	0.05583887054
643	0.05581281313
644	0.05578871443
645	0.05575985058
646	0.05572108905
647	0.05569673459
648	0.0556610625
649	0.05563851317
650	0.0556235906
651	0.05558922914
652	0.05555786391
653	0.0555354575
654	0.05550334998
655	0.05548084839
656	0.05545505028
657	0.05543900381
658	0.05542219664
659	0.05540012003
660	0.05535975856
661	0.05532576371
662	0.0553118592
663	0.05528899167
664	0.05526500835
665	0.05522831699
666	0.05520971084
667	0.05519393288
668	0.05517507288
669	0.05515887605
670	0.05512584462
671	0.05510917066
672	0.05508869753
673	0.05507040115
674	0.05504872719
675	0.055016859
676	0.05500585666
677	0.05497064488
678	0.05494873673
679	0.05491458012
680	0.05488300783
681	0.05485587898
682	0.05483704111
683	0.05482439899
684	0.05481080141
685	0.05477637124
686	0.05476374247
687	0.05472399647
688	0.05469520936
689	0.05467981565
690	0.05465988476
691	0.05463972856
692	0.05461247032
693	0.05459409572
694	0.05458499861
695	0.05456995131
696	0.05453883522
697	0.05450278552
698	0.05447386752
699	0.05445655569
700	0.0544356481
701	0.05441655831
702	0.05439201243
703	0.05437965878
704	0.05435390542
705	0.05433849227
706	0.0543089436
707	0.05428325361
708	0.05426482322
709	0.05424628348
710	0.05423177604
711	0.05421083719
712	0.05418260561
713	0.05415891345
714	0.05414026003
715	0.05410752681
716	0.05408662324
717	0.05406525919
718	0.05403755038
719	0.0540159574
720	0.05399816811
721	0.05397122518
722	0.05395757491
723	0.05393769361
724	0.05392039728
725	0.05390013793
726	0.05388679574
727	0.05386192134
728	0.05384593406
729	0.05381683067
730	0.05380740488
731	0.0537886734
732	0.05375043286
733	0.05373260904
734	0.05371028954
735	0.05367916784
736	0.05365024069
737	0.05363515673
738	0.05360813912
739	0.05358310369
740	0.0535654216
741	0.05354360143
742	0.05353039354
743	0.05350897247
744	0.05349627815
745	0.05348305005
746	0.05346797206
747	0.05344322188
748	0.05341923017
749	0.05339360731
750	0.05336691047
751	0.05335335191
752	0.05333555504
753	0.05331996884
754	0.05330149266
755	0.05329187795
756	0.05326150856
757	0.05324156941
758	0.05322921819
759	0.05322022689
760	0.05319901275
761	0.05318756641
762	0.05316380539
763	0.05312864041
764	0.05310342103
765	0.05308305118
766	0.05306775574
767	0.053042934
768	0.0530233941
769	0.05300062094
770	0.05298855612
771	0.05297828274
772	0.05296907897
773	0.0529439043
774	0.05293183207
775	0.05291218202
776	0.05288980231
777	0.05286561744
778	0.0528507307
779	0.05283145194
780	0.05281331531
781	0.05280127874
782	0.05278810968
783	0.05276403978
784	0.05274768842
785	0.05272572629
786	0.05270429894
787	0.05269570894
788	0.0526856608
789	0.05266671136
790	0.0526462999
791	0.05262890486
792	0.05261463098
793	0.05260288899
794	0.05258837922
795	0.05257167869
796	0.05254303754
797	0.05252247686
798	0.0525023769
799	0.05249027132
800	0.05247685258
801	0.05246544699
802	0.05244064263
803	0.05241720367
804	0.05241128701
805	0.05239681715
806	0.05238312538
807	0.05237231766
808	0.05235515764
809	0.0523353893
810	0.05232371207
811	0.0523021353
812	0.05228029888
813	0.05227054074
814	0.05224679112
815	0.05223096082
816	0.05221291471
817	0.05220271678
818	0.05218534198
819	0.05215798335
820	0.05213414029
821	0.0521212035
822	0.05211404467
823	0.05210342235
824	0.0520776464
825	0.05206046488
826	0.05203510238
827	0.05202479224
828	0.05200258468
829	0.05198924532
830	0.05196499257
831	0.05194381943
832	0.05192893871
833	0.05191889152
834	0.05190987183
835	0.0518975843
836	0.05188497596
837	0.05186541176
838	0.05184591161
839	0.05182850221
840	0.05180917349
841	0.05178048765
842	0.05175679168
843	0.0517447094
844	0.05173574649
845	0.05171849573
846	0.05170698157
847	0.05168758258
848	0.05166701859
849	0.05164969972
850	0.05162994397
851	0.05161273998
852	0.0515956703
853	0.05157383121
854	0.05155739338
855	0.05153693048
856	0.05152781477
857	0.05151634354
858	0.05148520047
859	0.05147216325
860	0.05145419232
861	0.05144203012
862	0.0514237077
863	0.0514160627
864	0.05139830603
865	0.05138710348
866	0.05137659007
867	0.05135410023
868	0.05133640872
869	0.05132595068
870	0.05130626376
871	0.05129039219
872	0.05127490545
873	0.0512535757
874	0.05123530495
875	0.05121894658
876	0.05120849963
877	0.05119461536
878	0.05117891743
879	0.05115694569
880	0.05113540586
881	0.05112426995
882	0.05110866563
883	0.0510917995
884	0.05107513675
885	0.05105399175
886	0.05103079301
887	0.05101818734
888	0.05100328842
889	0.05098243594
890	0.05096987229
891	0.05095399364
892	0.05094131884
893	0.05092227887
894	0.05091097255
895	0.05089774804
896	0.05088497148
897	0.05087710221
898	0.05086385896
899	0.0508491207
900	0.05083433203
901	0.05081179489
902	0.05079049227
903	0.05077566621
904	0.05075232953
905	0.05074176755
906	0.05071887168
907	0.05070079876
908	0.05068781371
909	0.05067203562
910	0.05066066235
911	0.05064262092
912	0.05062903827
913	0.05061256892
914	0.05059547196
915	0.05057247732
916	0.05055882219
917	0.05054757688
918	0.05053398699
919	0.05051891443
920	0.05050129578
921	0.05048260437
922	0.05046604022
923	0.05044391914
924	0.05043494894
925	0.05041716003
926	0.05040329251
927	0.0503935995
928	0.05038426587
929	0.05037136577
930	0.05035906585
931	0.05034343786
932	0.05033273154
933	0.05032409482
934	0.05031613085
935	0.05030037973
936	0.05028977104
937	0.05027092705
938	0.05025210895
939	0.05024242519
940	0.05022981611
941	0.05021342744
942	0.05019477633
943	0.05017741396
944	0.05016350877
945	0.05015551027
946	0.05013700232
947	0.05012239693
948	0.05010706657
949	0.05009128078
950	0.05007896023
951	0.05006688855
952	0.0500516148
953	0.05004153489
954	0.05001535587
955	0.04999563552
956	0.04997504061
957	0.04996520218
958	0.04995514797
959	0.04994203237
960	0.04992900547
961	0.04992280403
962	0.04990264931
963	0.04989594521
964	0.04987991767
965	0.04986548426
966	0.04985075804
967	0.04983495503
968	0.04981037914
969	0.04978954036
970	0.04977836949
971	0.04976915813
972	0.04974598091
973	0.04973489266
974	0.04972074223
975	0.04970659738
976	0.04969628516
977	0.04968577049
978	0.04967361058
979	0.0496645748
980	0.04965381106
981	0.04964601087
982	0.04963357887
983	0.04961470327
984	0.04959949964
985	0.04959165577
986	0.04957934288
987	0.04957097952
988	0.04955319757
989	0.04954274563
990	0.04953048518
991	0.04951971835
992	0.04950648772
993	0.04949856683
994	0.04949045946
995	0.04947544983
996	0.04946497627
997	0.04945310566
998	0.04943467323
999	0.0494257196
1000	0.04941438627
1001	0.04939178001
1002	0.04937152321
1003	0.0493626766
1004	0.04935212026
1005	0.04934082711
1006	0.0493295246
1007	0.04931730467
1008	0.04931025161
1009	0.0492872519
1010	0.04927668085
1011	0.04926726708
1012	0.04926009284
1013	0.04924563289
1014	0.04923668116
1015	0.04922396835
1016	0.04921500856
1017	0.0492053388
1018	0.04918790451
1019	0.04916963108
1020	0.04916109805
1021	0.04914945693
1022	0.04914375899
1023	0.04913258661
1024	0.0491164453
1025	0.04911172041
1026	0.04909785416
1027	0.04908416119
1028	0.04907303858
1029	0.0490592099
1030	0.04904499065
1031	0.04903395293
1032	0.04902915803
1033	0.04901272189
1034	0.04899962794
1035	0.04898914081
1036	0.04897228572
1037	0.04896379725
1038	0.04895134397
1039	0.04894536955
1040	0.04893173482
1041	0.04891797904
1042	0.04890924014
1043	0.04889512282
1044	0.04889154425
1045	0.04887986701
1046	0.04887188727
1047	0.04886048189
1048	0.04884983091
1049	0.04883780577
1050	0.04882806284
1051	0.04881206724
1052	0.04879646512
1053	0.0487909852
1054	0.04878331711
1055	0.04877252302
1056	0.0487576861
1057	0.04874904959
1058	0.04872723321
1059	0.04871227658
1060	0.04870440607
1061	0.04869358344
1062	0.04868007446
1063	0.04867113923
