iter	Passed	Remaining
409	4849	12891
410	4861	12880
411	4873	12869
412	4885	12859
413	4898	12849
414	4911	12839
415	4923	12829
416	4935	12818
417	4947	12806
418	4959	12795
419	4971	12783
420	4983	12771
421	4994	12759
422	5006	12747
423	5018	12736
424	5030	12724
425	5042	12713
426	5054	12700
427	5066	12688
428	5077	12676
429	5089	12664
430	5101	12654
431	5113	12642
432	5125	12630
433	5137	12618
434	5149	12607
435	5160	12594
436	5172	12582
437	5184	12570
438	5195	12557
439	5207	12544
440	5219	12533
441	5231	12522
442	5243	12511
443	5255	12499
444	5266	12486
445	5278	12475
446	5291	12464
447	5303	12453
448	5315	12443
449	5328	12432
450	5340	12421
451	5353	12411
452	5365	12401
453	5378	12391
454	5390	12381
455	5403	12370
456	5415	12359
457	5427	12347
458	5438	12334
459	5450	12323
460	5462	12312
461	5475	12301
462	5486	12288
463	5498	12276
464	5510	12265
465	5521	12252
466	5534	12241
467	5545	12229
468	5557	12217
469	5568	12204
470	5580	12192
471	5592	12180
472	5604	12168
473	5616	12156
474	5628	12145
475	5640	12133
476	5651	12120
477	5663	12108
478	5674	12096
479	5686	12084
480	5698	12073
481	5710	12060
482	5721	12047
483	5734	12036
484	5746	12025
485	5757	12012
486	5768	11999
487	5780	11987
488	5792	11974
489	5803	11962
490	5815	11950
491	5826	11937
492	5838	11924
493	5850	11913
494	5861	11901
495	5873	11889
496	5885	11876
497	5896	11864
498	5908	11852
499	5919	11839
500	5931	11827
501	5943	11815
502	5954	11803
503	5966	11790
504	5978	11778
505	5989	11765
506	6001	11753
507	6013	11742
508	6025	11731
509	6036	11718
510	6048	11706
511	6060	11695
512	6072	11684
513	6084	11671
514	6096	11659
515	6108	11647
516	6119	11636
517	6132	11625
518	6144	11614
519	6156	11603
520	6169	11592
521	6181	11581
522	6193	11570
523	6206	11559
524	6218	11548
525	6230	11537
526	6243	11526
527	6255	11516
528	6268	11505
529	6280	11494
530	6293	11484
531	6306	11474
532	6319	11464
533	6332	11455
534	6345	11445
535	6357	11434
536	6369	11423
537	6382	11412
538	6395	11401
539	6407	11391
540	6420	11380
541	6432	11370
542	6445	11359
543	6457	11348
544	6469	11336
545	6482	11326
546	6494	11314
547	6506	11303
548	6519	11293
549	6531	11282
550	6544	11271
551	6556	11260
552	6569	11249
553	6581	11239
554	6594	11228
555	6606	11217
556	6618	11205
557	6631	11194
558	6643	11184
559	6656	11173
560	6668	11161
561	6681	11151
562	6693	11139
563	6705	11127
564	6716	11114
565	6728	11102
566	6740	11090
567	6751	11077
568	6763	11065
569	6775	11054
570	6787	11042
571	6799	11031
572	6811	11020
573	6824	11009
574	6836	10998
575	6848	10986
576	6860	10974
577	6872	10963
578	6884	10950
579	6896	10939
580	6909	10928
581	6921	10916
582	6933	10905
583	6945	10894
584	6957	10882
585	6969	10869
586	6980	10857
587	6992	10846
588	7004	10834
589	7016	10822
590	7029	10811
591	7041	10799
592	7053	10788
593	7065	10776
594	7077	10764
595	7089	10753
596	7101	10740
597	7112	10728
598	7124	10717
599	7136	10704
600	7148	10692
601	7160	10681
602	7172	10669
603	7184	10657
604	7195	10644
605	7207	10632
606	7219	10620
607	7230	10607
608	7242	10596
609	7255	10585
610	7267	10574
611	7280	10563
612	7293	10553
613	7305	10542
614	7317	10530
615	7330	10520
616	7343	10509
617	7356	10499
618	7369	10488
619	7381	10477
620	7394	10466
621	7407	10455
622	7420	10445
623	7432	10433
624	7444	10422
625	7457	10412
626	7470	10401
627	7482	10389
628	7494	10377
629	7505	10365
630	7517	10352
631	7529	10340
632	7541	10329
633	7553	10316
634	7564	10304
635	7576	10292
636	7588	10280
637	7599	10268
638	7612	10256
639	7624	10245
640	7637	10234
641	7649	10222
642	7661	10211
643	7673	10200
644	7686	10188
645	7698	10177
646	7710	10165
647	7722	10154
648	7735	10143
649	7747	10131
650	7759	10119
651	7772	10108
652	7784	10096
653	7796	10085
654	7808	10073
655	7820	10061
656	7832	10049
657	7844	10037
658	7855	10025
659	7868	10013
660	7879	10001
661	7891	9989
662	7903	9977
663	7914	9964
664	7926	9952
665	7938	9940
666	7950	9928
667	7962	9917
668	7975	9906
669	7987	9895
670	7999	9883
671	8012	9872
672	8024	9861
673	8037	9849
674	8049	9838
675	8061	9826
676	8073	9814
677	8085	9802
678	8097	9790
679	8109	9779
680	8122	9767
681	8134	9756
682	8146	9744
683	8158	9733
684	8171	9722
685	8183	9710
686	8195	9698
687	8208	9687
688	8220	9676
689	8233	9664
690	8245	9652
691	8257	9641
692	8270	9630
693	8281	9618
694	8294	9606
695	8306	9595
696	8318	9583
697	8329	9571
698	8342	9559
699	8353	9547
700	8365	9535
701	8377	9523
702	8389	9511
703	8402	9500
704	8414	9488
705	8426	9477
706	8439	9465
707	8451	9454
708	8463	9442
709	8476	9431
710	8488	9420
711	8501	9409
712	8514	9397
713	8526	9385
714	8538	9373
715	8549	9361
716	8561	9349
717	8574	9338
718	8586	9327
719	8599	9316
720	8612	9304
721	8624	9293
722	8637	9282
723	8649	9271
724	8661	9259
725	8675	9248
726	8688	9238
727	8701	9227
728	8713	9215
729	8726	9204
730	8738	9193
731	8751	9182
732	8764	9171
733	8777	9159
734	8789	9148
735	8802	9137
736	8816	9127
737	8828	9115
738	8841	9104
739	8853	9093
740	8866	9082
741	8878	9070
742	8891	9058
743	8903	9047
744	8916	9035
745	8928	9024
746	8940	9012
747	8953	9001
748	8966	8990
749	8978	8978
750	8990	8966
751	9002	8954
752	9015	8943
753	9027	8931
754	9040	8920
755	9052	8909
756	9065	8897
757	9077	8885
758	9089	8874
759	9102	8863
760	9114	8851
761	9127	8839
762	9139	8828
763	9152	8816
764	9165	8806
765	9177	8794
766	9190	8783
767	9203	8772
768	9217	8761
769	9231	8751
770	9244	8740
771	9257	8730
772	9271	8720
773	9286	8710
774	9300	8700
775	9315	8690
776	9328	8680
777	9343	8671
778	9357	8661
779	9372	8651
780	9385	8640
781	9399	8630
782	9413	8619
783	9426	8608
784	9439	8597
785	9451	8586
786	9464	8574
787	9476	8562
788	9489	8551
789	9502	8539
790	9514	8528
791	9527	8516
792	9539	8505
793	9552	8493
794	9565	8482
795	9578	8471
796	9592	8460
797	9604	8449
798	9617	8437
799	9629	8425
800	9641	8413
801	9653	8401
802	9666	8390
803	9678	8378
804	9690	8366
805	9703	8354
806	9716	8343
807	9728	8332
808	9742	8321
809	9756	8310
810	9769	8299
811	9782	8288
812	9794	8276
813	9806	8264
814	9819	8253
815	9832	8241
816	9843	8229
817	9856	8217
818	9868	8205
819	9880	8193
820	9893	8182
821	9905	8170
822	9918	8158
823	9930	8146
824	9942	8134
825	9954	8122
826	9967	8111
827	9978	8098
828	9990	8086
829	10002	8074
830	10014	8061
831	10026	8049
832	10037	8037
833	10049	8025
834	10061	8012
835	10072	8000
836	10084	7988
837	10097	7976
838	10109	7964
839	10122	7953
840	10134	7941
841	10146	7929
842	10158	7917
843	10170	7905
844	10183	7893
845	10195	7881
846	10206	7869
847	10218	7856
848	10231	7845
849	10244	7834
850	10257	7822
851	10269	7810
852	10282	7799
853	10294	7787
854	10306	7775
855	10319	7763
856	10330	7751
857	10343	7739
858	10355	7727
859	10367	7715
860	10379	7703
861	10391	7690
862	10402	7678
863	10415	7666
864	10427	7654
865	10438	7642
866	10450	7630
867	10462	7617
868	10473	7605
869	10485	7593
870	10497	7581
871	10509	7568
872	10520	7556
873	10532	7544
874	10544	7532
875	10556	7519
876	10568	7507
877	10581	7495
878	10592	7483
879	10604	7471
880	10616	7458
881	10627	7446
882	10639	7434
883	10651	7422
884	10663	7409
885	10674	7397
886	10686	7385
887	10698	7373
888	10710	7361
889	10722	7348
890	10734	7337
891	10746	7324
892	10758	7312
893	10770	7301
894	10783	7289
895	10796	7277
896	10808	7265
897	10820	7253
898	10832	7241
899	10844	7229
900	10855	7217
901	10868	7205
902	10881	7194
903	10894	7182
904	10906	7170
905	10918	7158
906	10932	7147
907	10944	7135
908	10957	7123
909	10969	7112
910	10982	7100
911	10995	7089
912	11007	7076
913	11019	7064
914	11031	7052
915	11043	7041
916	11056	7029
917	11068	7017
918	11080	7005
919	11092	6993
920	11105	6981
921	11117	6969
922	11130	6957
923	11142	6946
924	11155	6934
925	11169	6923
926	11182	6912
927	11195	6900
928	11207	6888
929	11220	6877
930	11233	6865
931	11245	6853
932	11257	6841
933	11269	6829
934	11281	6816
935	11293	6804
936	11305	6792
937	11317	6780
938	11329	6768
939	11340	6756
940	11353	6744
941	11365	6732
942	11376	6719
943	11388	6707
944	11401	6695
945	11413	6683
946	11425	6671
947	11437	6659
948	11448	6647
949	11460	6635
950	11472	6622
951	11485	6611
952	11497	6599
953	11510	6587
954	11522	6575
955	11535	6564
956	11548	6552
957	11561	6541
958	11573	6529
959	11586	6517
960	11599	6505
961	11612	6494
962	11626	6483
963	11639	6471
964	11652	6460
965	11665	6448
966	11678	6436
967	11691	6425
968	11704	6413
969	11717	6402
970	11730	6390
971	11742	6378
972	11755	6366
973	11767	6354
974	11780	6343
975	11793	6331
976	11805	6319
977	11817	6307
978	11830	6295
979	11842	6283
980	11855	6272
981	11868	6260
982	11880	6248
983	11893	6236
984	11906	6224
985	11918	6213
986	11931	6201
987	11943	6189
988	11957	6178
989	11969	6166
990	11981	6154
991	11993	6142
992	12006	6129
993	12019	6118
994	12031	6106
995	12044	6094
996	12056	6082
997	12068	6070
998	12081	6058
999	12093	6046
1000	12106	6034
1001	12118	6023
1002	12131	6011
1003	12143	5999
1004	12156	5987
1005	12167	5974
1006	12179	5962
1007	12191	5950
1008	12203	5938
1009	12215	5926
1010	12227	5914
1011	12239	5902
1012	12251	5889
1013	12262	5877
1014	12275	5865
1015	12287	5853
1016	12299	5841
1017	12311	5829
1018	12323	5817
1019	12335	5804
1020	12347	5792
1021	12360	5781
1022	12372	5769
1023	12385	5757
1024	12399	5746
1025	12412	5734
1026	12424	5722
1027	12436	5710
1028	12448	5697
1029	12460	5686
1030	12472	5673
1031	12484	5661
1032	12496	5649
1033	12508	5637
1034	12520	5625
1035	12532	5613
1036	12544	5601
1037	12557	5589
1038	12570	5577
1039	12582	5565
1040	12594	5553
1041	12606	5541
1042	12618	5528
1043	12630	5516
1044	12642	5504
1045	12653	5492
1046	12665	5479
1047	12677	5467
1048	12689	5455
1049	12701	5443
1050	12714	5431
1051	12726	5419
1052	12738	5407
1053	12750	5395
1054	12762	5383
1055	12775	5371
1056	12787	5359
1057	12800	5347
1058	12812	5335
1059	12825	5323
1060	12838	5311
1061	12850	5299
1062	12863	5288
1063	12874	5275
1064	12886	5263
1065	12898	5251
1066	12911	5239
1067	12923	5227
1068	12935	5215
1069	12948	5203
1070	12961	5192
1071	12973	5179
1072	12986	5167
1073	12998	5155
1074	13010	5143
1075	13022	5131
1076	13034	5119
1077	13046	5107
1078	13058	5095
1079	13070	5082
1080	13082	5070
1081	13093	5058
1082	13106	5046
1083	13118	5034
1084	13129	5022
1085	13142	5010
1086	13154	4997
1087	13165	4985
1088	13177	4973
1089	13190	4961
1090	13202	4949
1091	13213	4936
1092	13225	4924
1093	13238	4912
1094	13249	4900
1095	13261	4888
1096	13273	4876
1097	13284	4863
1098	13296	4851
1099	13308	4839
1100	13320	4827
1101	13332	4815
1102	13344	4802
1103	13356	4790
1104	13367	4778
1105	13379	4766
1106	13392	4754
1107	13403	4742
1108	13415	4729
1109	13427	4717
1110	13439	4705
1111	13451	4693
1112	13462	4681
1113	13474	4668
1114	13486	4656
1115	13498	4644
1116	13510	4632
1117	13522	4620
1118	13534	4608
1119	13546	4596
1120	13558	4584
1121	13571	4572
1122	13582	4559
1123	13594	4547
1124	13605	4535
1125	13617	4523
1126	13629	4510
1127	13640	4498
1128	13653	4486
1129	13664	4474
1130	13677	4462
1131	13688	4450
1132	13700	4437
1133	13712	4425
1134	13724	4413
1135	13736	4401
1136	13748	4389
1137	13760	4377
1138	13772	4365
1139	13784	4352
1140	13796	4340
1141	13808	4328
1142	13820	4316
1143	13831	4304
1144	13844	4292
1145	13857	4280
1146	13869	4268
1147	13880	4256
1148	13892	4244
1149	13905	4231
1150	13916	4219
1151	13928	4207
1152	13940	4195
1153	13952	4183
1154	13964	4171
1155	13976	4159
1156	13988	4146
1157	13999	4134
1158	14011	4122
1159	14023	4110
1160	14035	4098
1161	14046	4085
1162	14059	4073
1163	14071	4061
1164	14082	4049
1165	14094	4037
1166	14106	4025
1167	14118	4013
1168	14130	4001
1169	14142	3988
1170	14154	3976
1171	14165	3964
1172	14178	3952
1173	14191	3940
1174	14203	3928
1175	14215	3916
1176	14228	3904
1177	14240	3892
1178	14252	3880
1179	14264	3868
1180	14278	3856
1181	14291	3844
1182	14303	3832
1183	14315	3820
1184	14328	3808
1185	14340	3796
1186	14352	3784
1187	14364	3772
1188	14375	3760
1189	14388	3748
1190	14400	3736
1191	14411	3723
1192	14424	3711
1193	14436	3699
1194	14447	3687
1195	14459	3675
1196	14472	3663
1197	14483	3651
1198	14496	3639
1199	14508	3627
1200	14520	3614
1201	14531	3602
1202	14543	3590
1203	14555	3578
1204	14567	3566
1205	14579	3554
1206	14591	3542
1207	14603	3529
1208	14615	3517
1209	14627	3505
1210	14639	3493
1211	14651	3481
1212	14663	3469
1213	14675	3457
1214	14687	3445
1215	14698	3432
1216	14710	3420
1217	14722	3408
1218	14734	3396
1219	14745	3384
1220	14758	3372
1221	14769	3360
1222	14781	3347
1223	14792	3335
1224	14805	3323
1225	14817	3311
1226	14828	3299
1227	14841	3287
1228	14854	3275
1229	14866	3263
1230	14878	3251
1231	14890	3239
1232	14902	3227
1233	14913	3214
1234	14926	3202
1235	14938	3190
1236	14950	3178
1237	14961	3166
1238	14973	3154
1239	14985	3142
1240	14997	3129
1241	15008	3117
1242	15020	3105
1243	15032	3093
1244	15045	3081
1245	15057	3069
1246	15068	3057
1247	15080	3045
1248	15093	3033
1249	15105	3021
1250	15116	3008
1251	15128	2996
1252	15140	2984
1253	15152	2972
1254	15163	2960
1255	15175	2948
1256	15189	2936
1257	15201	2924
1258	15213	2912
1259	15226	2900
1260	15238	2888
1261	15251	2876
1262	15263	2864
1263	15275	2852
1264	15289	2840
1265	15301	2828
1266	15314	2816
1267	15326	2804
1268	15338	2792
1269	15351	2780
1270	15362	2767
1271	15375	2755
1272	15387	2743
1273	15400	2731
1274	15412	2719
1275	15423	2707
1276	15436	2695
1277	15448	2683
1278	15460	2671
1279	15471	2659
1280	15484	2647
1281	15496	2635
1282	15508	2623
1283	15521	2611
1284	15533	2599
1285	15545	2586
1286	15556	2574
1287	15568	2562
1288	15580	2550
1289	15592	2538
1290	15604	2526
1291	15616	2514
1292	15628	2501
1293	15640	2489
1294	15651	2477
1295	15663	2465
1296	15675	2453
1297	15687	2441
1298	15699	2429
1299	15711	2417
1300	15723	2405
1301	15735	2393
1302	15747	2380
1303	15759	2368
1304	15771	2356
1305	15783	2344
1306	15795	2332
1307	15807	2320
1308	15819	2308
1309	15830	2296
1310	15842	2283
1311	15854	2271
1312	15866	2259
1313	15878	2247
1314	15890	2235
1315	15903	2223
1316	15916	2211
1317	15928	2199
1318	15941	2187
1319	15953	2175
1320	15966	2163
1321	15979	2151
1322	15991	2139
1323	16004	2127
1324	16016	2115
1325	16028	2103
1326	16041	2091
1327	16053	2079
1328	16065	2067
1329	16078	2055
1330	16090	2043
1331	16102	2030
1332	16114	2018
1333	16126	2006
1334	16138	1994
1335	16149	1982
1336	16161	1970
1337	16173	1958
1338	16185	1946
1339	16197	1933
1340	16208	1921
1341	16220	1909
1342	16232	1897
1343	16243	1885
1344	16255	1873
1345	16267	1861
1346	16278	1849
1347	16290	1836
1348	16302	1824
1349	16314	1812
1350	16326	1800
1351	16338	1788
1352	16351	1776
1353	16363	1764
1354	16375	1752
1355	16387	1740
1356	16400	1728
1357	16412	1716
1358	16424	1704
1359	16437	1692
1360	16449	1679
1361	16462	1667
1362	16474	1655
1363	16487	1643
1364	16499	1631
1365	16512	1619
1366	16524	1607
1367	16536	1595
1368	16549	1583
1369	16561	1571
1370	16574	1559
1371	16586	1547
1372	16598	1535
1373	16611	1523
1374	16623	1511
1375	16635	1499
1376	16647	1487
1377	16660	1474
1378	16672	1462
1379	16685	1450
1380	16697	1438
1381	16709	1426
1382	16722	1414
1383	16735	1402
1384	16748	1390
1385	16762	1378
1386	16773	1366
1387	16785	1354
1388	16797	1342
1389	16808	1330
1390	16821	1318
1391	16832	1306
1392	16845	1293
1393	16856	1281
1394	16868	1269
1395	16880	1257
1396	16891	1245
1397	16904	1233
1398	16915	1221
1399	16928	1209
1400	16939	1197
1401	16951	1184
1402	16963	1172
1403	16975	1160
1404	16987	1148
1405	17000	1136
1406	17012	1124
1407	17024	1112
1408	17037	1100
1409	17049	1088
1410	17061	1076
1411	17074	1064
1412	17086	1052
1413	17098	1039
1414	17111	1027
1415	17123	1015
1416	17136	1003
1417	17148	991
1418	17160	979
1419	17173	967
1420	17185	955
1421	17197	943
1422	17209	931
1423	17221	919
1424	17233	907
1425	17244	894
1426	17256	882
1427	17268	870
1428	17281	858
1429	17293	846
1430	17306	834
1431	17319	822
1432	17332	810
1433	17345	798
1434	17357	786
1435	17371	774
1436	17385	762
1437	17398	750
1438	17411	738
1439	17424	726
1440	17437	713
1441	17450	701
1442	17463	689
1443	17475	677
1444	17487	665
1445	17499	653
1446	17512	641
1447	17524	629
1448	17536	617
1449	17549	605
1450	17561	593
1451	17574	580
1452	17586	568
1453	17598	556
1454	17610	544
1455	17622	532
1456	17635	520
1457	17647	508
1458	17660	496
1459	17672	484
1460	17685	472
1461	17697	459
1462	17708	447
1463	17720	435
1464	17732	423
1465	17744	411
1466	17756	399
1467	17768	387
1468	17780	375
1469	17791	363
1470	17803	350
1471	17815	338
1472	17827	326
1473	17839	314
1474	17851	302
1475	17863	290
1476	17875	278
1477	17887	266
1478	17899	254
1479	17911	242
1480	17923	229
1481	17936	217
1482	17949	205
1483	17961	193
1484	17974	181
1485	17987	169
1486	18000	157
1487	18012	145
1488	18025	133
1489	18038	121
1490	18051	108
1491	18064	96
1492	18076	84
1493	18089	72
1494	18102	60
1495	18116	48
1496	18129	36
1497	18142	24
1498	18154	12
1499	18166	0
